TIMESTAMP,TRIGGERID,TRIGGER COUNTS,VALID,FLAG,Asic0_CH0_HG,Asic0_CH0_LG,Asic0_CH1_HG,Asic0_CH1_LG,Asic0_CH2_HG,Asic0_CH2_LG,Asic0_CH3_HG,Asic0_CH3_LG,Asic0_CH4_HG,Asic0_CH4_LG,Asic0_CH5_HG,Asic0_CH5_LG,Asic0_CH6_HG,Asic0_CH6_LG,Asic0_CH7_HG,Asic0_CH7_LG,Asic0_CH8_HG,Asic0_CH8_LG,Asic0_CH9_HG,Asic0_CH9_LG,Asic0_CH10_HG,Asic0_CH10_LG,Asic0_CH11_HG,Asic0_CH11_LG,Asic0_CH12_HG,Asic0_CH12_LG,Asic0_CH13_HG,Asic0_CH13_LG,Asic0_CH14_HG,Asic0_CH14_LG,Asic0_CH15_HG,Asic0_CH15_LG,Asic0_CH16_HG,Asic0_CH16_LG,Asic0_CH17_HG,Asic0_CH17_LG,Asic0_CH18_HG,Asic0_CH18_LG,Asic0_CH19_HG,Asic0_CH19_LG,Asic0_CH20_HG,Asic0_CH20_LG,Asic0_CH21_HG,Asic0_CH21_LG,Asic0_CH22_HG,Asic0_CH22_LG,Asic0_CH23_HG,Asic0_CH23_LG,Asic0_CH24_HG,Asic0_CH24_LG,Asic0_CH25_HG,Asic0_CH25_LG,Asic0_CH26_HG,Asic0_CH26_LG,Asic0_CH27_HG,Asic0_CH27_LG,Asic0_CH28_HG,Asic0_CH28_LG,Asic0_CH29_HG,Asic0_CH29_LG,Asic0_CH30_HG,Asic0_CH30_LG,Asic0_CH31_HG,Asic0_CH31_LG,Asic1_CH0_HG,Asic1_CH0_LG,Asic1_CH1_HG,Asic1_CH1_LG,Asic1_CH2_HG,Asic1_CH2_LG,Asic1_CH3_HG,Asic1_CH3_LG,Asic1_CH4_HG,Asic1_CH4_LG,Asic1_CH5_HG,Asic1_CH5_LG,Asic1_CH6_HG,Asic1_CH6_LG,Asic1_CH7_HG,Asic1_CH7_LG,Asic1_CH8_HG,Asic1_CH8_LG,Asic1_CH9_HG,Asic1_CH9_LG,Asic1_CH10_HG,Asic1_CH10_LG,Asic1_CH11_HG,Asic1_CH11_LG,Asic1_CH12_HG,Asic1_CH12_LG,Asic1_CH13_HG,Asic1_CH13_LG,Asic1_CH14_HG,Asic1_CH14_LG,Asic1_CH15_HG,Asic1_CH15_LG,Asic1_CH16_HG,Asic1_CH16_LG,Asic1_CH17_HG,Asic1_CH17_LG,Asic1_CH18_HG,Asic1_CH18_LG,Asic1_CH19_HG,Asic1_CH19_LG,Asic1_CH20_HG,Asic1_CH20_LG,Asic1_CH21_HG,Asic1_CH21_LG,Asic1_CH22_HG,Asic1_CH22_LG,Asic1_CH23_HG,Asic1_CH23_LG,Asic1_CH24_HG,Asic1_CH24_LG,Asic1_CH25_HG,Asic1_CH25_LG,Asic1_CH26_HG,Asic1_CH26_LG,Asic1_CH27_HG,Asic1_CH27_LG,Asic1_CH28_HG,Asic1_CH28_LG,Asic1_CH29_HG,Asic1_CH29_LG,Asic1_CH30_HG,Asic1_CH30_LG,Asic1_CH31_HG,Asic1_CH31_LG,Asic2_CH0_HG,Asic2_CH0_LG,Asic2_CH1_HG,Asic2_CH1_LG,Asic2_CH2_HG,Asic2_CH2_LG,Asic2_CH3_HG,Asic2_CH3_LG,Asic2_CH4_HG,Asic2_CH4_LG,Asic2_CH5_HG,Asic2_CH5_LG,Asic2_CH6_HG,Asic2_CH6_LG,Asic2_CH7_HG,Asic2_CH7_LG,Asic2_CH8_HG,Asic2_CH8_LG,Asic2_CH9_HG,Asic2_CH9_LG,Asic2_CH10_HG,Asic2_CH10_LG,Asic2_CH11_HG,Asic2_CH11_LG,Asic2_CH12_HG,Asic2_CH12_LG,Asic2_CH13_HG,Asic2_CH13_LG,Asic2_CH14_HG,Asic2_CH14_LG,Asic2_CH15_HG,Asic2_CH15_LG,Asic2_CH16_HG,Asic2_CH16_LG,Asic2_CH17_HG,Asic2_CH17_LG,Asic2_CH18_HG,Asic2_CH18_LG,Asic2_CH19_HG,Asic2_CH19_LG,Asic2_CH20_HG,Asic2_CH20_LG,Asic2_CH21_HG,Asic2_CH21_LG,Asic2_CH22_HG,Asic2_CH22_LG,Asic2_CH23_HG,Asic2_CH23_LG,Asic2_CH24_HG,Asic2_CH24_LG,Asic2_CH25_HG,Asic2_CH25_LG,Asic2_CH26_HG,Asic2_CH26_LG,Asic2_CH27_HG,Asic2_CH27_LG,Asic2_CH28_HG,Asic2_CH28_LG,Asic2_CH29_HG,Asic2_CH29_LG,Asic2_CH30_HG,Asic2_CH30_LG,Asic2_CH31_HG,Asic2_CH31_LG,Asic3_CH0_HG,Asic3_CH0_LG,Asic3_CH1_HG,Asic3_CH1_LG,Asic3_CH2_HG,Asic3_CH2_LG,Asic3_CH3_HG,Asic3_CH3_LG,Asic3_CH4_HG,Asic3_CH4_LG,Asic3_CH5_HG,Asic3_CH5_LG,Asic3_CH6_HG,Asic3_CH6_LG,Asic3_CH7_HG,Asic3_CH7_LG,Asic3_CH8_HG,Asic3_CH8_LG,Asic3_CH9_HG,Asic3_CH9_LG,Asic3_CH10_HG,Asic3_CH10_LG,Asic3_CH11_HG,Asic3_CH11_LG,Asic3_CH12_HG,Asic3_CH12_LG,Asic3_CH13_HG,Asic3_CH13_LG,Asic3_CH14_HG,Asic3_CH14_LG,Asic3_CH15_HG,Asic3_CH15_LG,Asic3_CH16_HG,Asic3_CH16_LG,Asic3_CH17_HG,Asic3_CH17_LG,Asic3_CH18_HG,Asic3_CH18_LG,Asic3_CH19_HG,Asic3_CH19_LG,Asic3_CH20_HG,Asic3_CH20_LG,Asic3_CH21_HG,Asic3_CH21_LG,Asic3_CH22_HG,Asic3_CH22_LG,Asic3_CH23_HG,Asic3_CH23_LG,Asic3_CH24_HG,Asic3_CH24_LG,Asic3_CH25_HG,Asic3_CH25_LG,Asic3_CH26_HG,Asic3_CH26_LG,Asic3_CH27_HG,Asic3_CH27_LG,Asic3_CH28_HG,Asic3_CH28_LG,Asic3_CH29_HG,Asic3_CH29_LG,Asic3_CH30_HG,Asic3_CH30_LG,Asic3_CH31_HG,Asic3_CH31_LG
119,0,1,0,0,5914,4980,4990,4948,5084,4898,6224,5378,4895,4883,7156,5464,7470,5522,4854,4917,4839,4871,4871,4881,4843,4866,4828,4888,4823,4894,4823,4877,4714,4846,6292,5445,7943,5452,5311,4989,4848,4839,4757,4880,4830,4847,4872,4874,5975,5001,4815,4872,4841,4868,4835,4887,4877,4836,4857,4882,4870,4876,4881,4846,4874,4862,4850,4873,4888,4808,4885,4852,4849,4876,4808,4882,4886,4818,4846,4846,4845,4891,5179,4942,4855,4834,4818,4842,4843,4880,4851,4826,4833,4852,4841,4852,4850,4816,4841,4802,5097,4791,4854,4822,4877,4843,5008,4875,5307,5004,4857,4847,4854,4840,5036,4842,4842,4818,6356,5291,4778,4835,4721,4818,7162,5360,7165,5349,7186,5310,7607,5360,6398,5299,6293,5270,10229,5485,10262,5416,6165,5219,10350,5482,10228,5431,4767,4832,10368,5345,10328,5426,6029,5312,10299,5390,10316,5430,4848,4804,10189,5421,10308,5460,4792,4841,10090,5357,9766,5356,4759,4845,10383,5337,10238,5328,5277,4981,8762,5304,8332,5354,4779,4836,4808,4844,4824,4823,4830,4873,4822,4828,4853,4835,4827,4856,4858,4834,4856,4847,4847,4887,4873,4851,4848,4840,4870,4842,4903,4827,4860,4825,4863,4824,4849,4852,4831,4836,4819,4868,4867,4831,4864,4833,4843,4819,4874,4852,4839,4818,4839,4837,4884,4838,4829,4845,4817,4850,4820,4857,4867,4846,4865,4826,4838,4832,4869,4860,4824,4858,4830,4864,4845,4850,4869,4814,4850,4835,4850,4860
1640,0,2,0,0,8891,9566,7822,8778,7837,9180,9979,9305,7721,9832,8445,9444,10925,9643,4822,4918,4826,4867,4857,4877,4823,4864,4797,4883,9135,10257,10954,8020,9614,7895,9882,8736,10344,9771,7227,9835,8907,9109,10427,8371,4807,4842,4829,4862,9116,7550,4807,4862,4850,4871,4803,4877,4875,4820,4832,4880,4868,4868,4874,4839,4864,4858,4840,4864,4918,4810,4906,4845,4850,4871,4805,4873,4884,4813,4870,4845,5004,4892,4862,4813,5412,4967,4821,4838,4838,4881,4902,4819,4848,4852,4829,4851,4843,4822,4835,4795,4830,4788,4937,4823,9070,6049,4813,4874,4843,4859,4867,4832,7349,7629,4834,4835,4869,4815,8932,8084,4780,4828,4721,4812,9713,8543,10361,7640,8584,7299,9665,8414,8597,8181,8176,7076,10058,7068,10066,6740,6368,5664,10066,7414,9994,7518,9382,7357,10078,7166,10070,7964,8987,6412,10023,7383,10465,8596,10836,6805,9676,6877,10070,8186,8429,7105,9277,8033,10477,8663,4716,4848,10126,7519,10012,8109,4789,4845,8791,9278,8694,8989,4792,4834,4776,4846,4823,4827,4831,4862,4821,4838,4854,4829,4827,4854,4849,4835,4848,4841,4850,4889,4874,4851,4848,4840,4879,4842,4907,4826,4857,4828,4871,4823,4842,4849,4831,4839,4816,4868,4859,4839,4865,4839,4844,4818,4865,4846,4846,4822,4840,4839,4880,4832,4827,4847,4813,4857,4821,4856,4865,4845,4872,4831,4840,4834,4867,4859,4825,4856,4824,4862,4840,4850,4865,4816,4856,4835,4858,4862
3380,0,3,0,0,8672,9774,8075,8929,8083,9005,9842,9479,9556,10140,8575,9606,10916,9820,4875,4917,4855,4867,4890,4878,4856,4857,4851,4892,8679,10270,11313,8104,8610,7948,9716,8752,10015,9971,6649,10189,8470,9457,10308,8451,4853,4838,4869,4861,10301,7643,4838,4863,4847,4869,4808,4879,4879,4833,4850,4881,4863,4867,4871,4842,4868,4862,4845,4866,6353,5820,4928,4850,4858,4869,4824,4878,6324,5959,4835,4847,4958,4895,6629,5557,7593,7167,4828,4837,4854,4883,4961,4824,4819,4848,4827,4854,4853,4819,4839,4801,6815,6875,4990,4828,9942,6099,5162,5006,4851,4857,4839,4836,8365,8998,5013,4840,4864,4821,10054,8375,4851,4829,4817,4814,9061,8666,10773,7730,8848,7366,8935,8584,8747,8302,10038,7150,10060,7760,10071,7439,8724,5618,10067,7337,9990,7483,9122,7284,10083,7208,10066,8104,5051,4995,10022,7337,10436,8737,10930,6806,10118,7899,10275,8305,9982,7605,9888,8284,11040,8846,8998,7618,10142,7592,10032,8239,4798,4843,10053,9554,8973,9158,4827,4836,4836,4841,4822,4826,4834,4863,4820,4839,4847,4836,4826,4851,4845,4830,4856,4846,4848,4887,4880,4851,4851,4840,4874,4829,4907,4829,4858,4827,4863,4822,4851,4848,4824,4841,4812,4872,4868,4835,4866,4834,4850,4822,4865,4851,4849,4818,4841,4834,4883,4837,4827,4848,4817,4853,4821,4850,4863,4848,4864,4826,4843,4836,4869,4857,4825,4856,4831,4863,4841,4848,4867,4821,4852,4833,4850,4858
3516,0,4,0,0,6237,5585,4820,4941,8763,5688,8262,5979,6324,6305,8138,5466,6299,5453,4811,4922,4813,4870,4846,4877,4810,4867,4784,4882,4817,4894,6434,5009,8245,4997,6639,5512,10238,5546,4843,4856,4850,4843,6202,5003,4825,4845,4809,4862,4908,4865,4802,4865,4836,4864,4797,4884,4878,4835,4824,4885,4868,4875,4876,4838,4866,4863,4850,4871,4869,4809,4877,4846,4842,4876,4807,4877,4858,4820,5455,4978,4844,4896,4821,4817,4837,4831,4812,4846,4846,4887,4849,4821,4844,4849,4813,4854,4883,4818,5014,4804,4868,4788,4825,4821,4846,4848,4820,4872,4830,4857,4840,4837,4917,4835,4810,4843,4833,4816,4823,4818,4793,4833,4733,4815,7308,6026,7456,5821,7537,5737,7953,5854,6903,5907,7617,5660,10151,6020,10134,5894,6047,5442,10168,5689,9987,5777,4777,4826,10211,5676,10191,5798,4858,4858,10204,5764,10286,5995,4853,4796,9657,5658,9959,5874,4818,4841,9774,5821,10324,5867,4808,4851,10329,5817,10225,5882,4854,4843,9156,5870,7427,5933,4843,4826,4834,4842,4833,4826,4836,4862,4827,4837,4855,4828,4837,4858,4858,4836,4852,4846,4850,4887,4873,4847,4848,4838,4872,4838,4908,4829,4858,4826,4868,4823,4849,4848,4836,4842,4819,4867,4865,4829,4870,4831,4842,4818,4869,4845,4842,4819,4839,4833,4885,4837,4829,4845,4816,4848,4822,4852,4867,4840,4870,4829,4842,4839,4869,4864,4829,4855,4833,4858,4838,4847,4863,4816,4851,4830,4860,4859
5565,0,5,0,0,9001,9941,9117,9068,9297,9435,9475,9687,8351,10256,8746,9831,10884,9903,4814,4917,4792,4867,4838,4879,4813,4859,4786,4884,9349,10763,10875,8156,8596,7977,9877,8943,10351,10060,6600,10375,9132,9674,9933,8535,4808,4842,4826,4860,8880,7664,4778,4863,4839,4871,4845,4885,4851,4822,4828,4878,4867,4871,4872,4843,4870,4859,4845,4866,4953,4820,4844,4847,4872,4875,4818,4875,4885,4820,8354,8800,4850,4895,10993,7289,7350,7070,4842,4841,8886,8510,4884,4822,4818,4849,4831,4853,4886,4814,4837,4802,4831,4790,6897,6469,4996,4848,4807,4869,4871,4858,4888,4838,4939,4838,4846,4836,4854,4817,10064,8522,4803,4830,4746,4814,8868,8798,10423,7813,8412,7430,9442,8785,8949,8416,8342,7218,10060,7156,10071,6787,6512,5650,10070,7420,9991,7551,8742,7804,10076,7276,10065,8251,7957,7232,10022,7416,10460,8948,10970,6867,9696,6917,10052,8598,9189,7867,10283,8351,11134,9046,9413,7871,10110,7688,9929,8397,9409,6500,8292,9831,8765,9435,6869,8343,4794,4840,4817,4822,4826,4865,4817,4835,4849,4831,4826,4854,4853,4835,4854,4843,4849,4891,4877,4851,4848,4839,4875,4835,4908,4829,4862,4829,4867,4823,4848,4851,4833,4837,4809,4863,4859,4831,4865,4837,4845,4818,4869,4849,4845,4814,4840,4839,4889,4832,4826,4846,4817,4853,4821,4851,4873,4843,4865,4827,4838,4833,4868,4865,4832,4856,4824,4861,4845,4849,4865,4813,4849,4833,4858,4866
6782,0,6,0,0,9611,9281,7823,8651,10187,8928,7710,7670,9766,9613,9427,9187,10712,9352,4712,4920,4658,4866,4713,4874,4705,4855,4708,4882,9136,9845,11154,7869,9146,7707,9040,8027,8924,9188,9356,9762,10013,7431,10407,7826,4679,4842,4712,4858,9381,7554,4725,4866,4755,4864,4723,4877,4800,4830,4761,4880,4848,4863,4857,4837,4850,4857,4825,4865,4920,4815,4873,4847,4885,4868,4838,4876,4932,4821,4905,4843,4943,4897,4950,4817,5050,4837,5279,4970,7616,7327,4945,4826,4966,4846,5412,4984,5013,4820,5174,4801,6464,6299,4922,4824,4978,4846,4857,4873,4921,4868,4985,4846,5846,5470,6533,6483,4833,4821,10068,7807,4875,4829,4859,4819,9869,8341,10481,7504,8268,7193,8724,8139,8350,7989,8057,6963,10063,7548,10071,7354,8501,5646,10067,7113,9989,7288,7757,7109,10077,7020,10065,7745,7584,6990,10020,7146,10460,8369,4878,4800,9699,6715,10210,7978,6871,5874,9756,7817,10650,8372,7431,5774,10179,7360,9966,7922,7731,6088,9688,9960,9964,8694,8365,7290,4827,4843,4830,4823,4837,4867,4821,4834,4853,4831,4826,4853,4855,4835,4856,4849,4845,4889,4868,4848,4847,4839,4871,4837,4906,4825,4856,4826,4864,4824,4844,4850,4828,4838,4811,4869,4866,4833,4868,4838,4849,4817,4866,4846,4841,4816,4839,4833,4885,4834,4831,4844,4818,4852,4822,4848,4863,4844,4867,4830,4835,4843,4874,4867,4822,4862,4829,4863,4844,4851,4868,4812,4851,4831,4852,4862
6820,0,7,0,0,9248,5360,7354,5084,9208,5143,9371,5170,8586,5079,9121,5105,7128,5025,4452,4929,4580,4991,4434,4891,4434,4874,4440,4899,9033,5102,8402,5049,8057,5007,9785,5416,9665,5286,9016,5109,9112,5082,9156,5137,4412,4857,4419,4880,8716,5062,4460,4885,4702,4885,4674,4898,4744,4854,4698,4898,4845,4890,4849,4861,4845,4883,4825,4888,4990,4824,4909,4861,4757,4885,4712,4887,4957,4834,5532,4970,4960,4905,4970,4827,5496,4966,5332,4971,5544,5006,4910,4837,4728,4856,4806,4866,4918,4827,5216,4937,5354,4917,4800,4834,4965,4854,4861,4888,5385,5003,5287,4969,4843,4853,5331,4966,4806,4829,9884,5118,4695,4840,4633,4826,8122,5454,8307,5420,7540,5372,8441,5411,7334,5429,6866,5227,10243,6204,10258,6371,6034,4958,10243,5358,10145,5399,4893,4958,10314,5354,10318,5388,4752,4993,10043,6601,10158,6343,7343,4969,9720,5338,10179,5385,4622,4969,9495,5413,9537,5366,4704,4986,9489,5742,9547,5794,6060,4984,7735,5008,6398,4983,4609,4970,4587,4861,4779,4835,4782,4876,4766,4851,4795,4850,4776,4873,4849,4834,4846,4847,4852,4888,4873,4847,4846,4843,4865,4835,4904,4831,4862,4821,4864,4816,4850,4853,4829,4840,4814,4867,4868,4834,4862,4840,4843,4826,4853,4845,4841,4814,4837,4837,4881,4836,4827,4845,4814,4851,4819,4850,4865,4845,4868,4826,4836,4838,4875,4858,4829,4849,4828,4858,4843,4847,4868,4814,4854,4831,4853,4857
7168,0,8,0,0,7358,7177,6769,6255,7143,7257,7151,6832,7462,5931,7922,7069,4821,4871,4880,4924,4854,4870,4894,4874,4886,4860,4868,4883,4880,4892,9131,6915,9703,6738,4839,4884,8592,6823,5483,4986,9657,6745,4832,4868,4845,4841,4874,4863,8350,6424,4875,4872,4831,4870,4829,4871,4895,4833,4836,4886,4869,4870,4872,4840,4867,4864,4846,4869,4888,4809,4969,4851,4846,4871,4825,4876,4853,4820,4859,4845,4957,4887,4918,4819,4886,4831,4846,4833,4865,4886,5027,4824,4862,4846,4847,4851,4839,4815,4827,4795,4818,4787,4932,4816,7081,5732,4969,4866,4841,4857,4877,4838,4931,4833,5125,4838,4851,4817,7789,5407,4851,4834,4777,4817,7495,6873,8164,6426,7777,6272,8364,6580,7365,6621,7064,6116,10065,6219,10077,6059,4863,4818,10108,6177,9994,6334,4770,4825,10210,6152,10161,6440,4861,4859,10031,6283,10254,6837,5844,5178,10080,6106,10099,6636,4806,4840,9868,6470,10310,6688,4803,4850,10193,6315,9866,6484,4828,4851,9364,6849,9588,6797,4780,4833,4803,4854,4821,4824,4828,4869,4821,4836,4850,4833,4828,4851,4849,4833,4850,4846,4845,4888,4873,4851,4848,4839,4874,4826,4905,4829,4860,4826,4869,4823,4846,4848,4831,4834,4809,4867,4864,4838,4866,4838,4845,4824,4863,4853,4844,4814,4841,4839,4881,4833,4828,4845,4815,4852,4823,4848,4861,4839,4866,4830,4841,4836,4868,4866,4832,4860,4830,4863,4843,4848,4869,4817,4853,4833,4854,4867
10556,0,9,0,0,9846,10318,9756,9255,8024,9627,9666,10107,8634,10578,8337,10281,11028,10347,4880,4914,4851,4867,4888,4872,4873,4859,4860,4884,8897,11182,11373,8186,9003,8025,9849,9077,10337,10521,6950,10660,9512,10134,10438,8644,4864,4842,4896,4864,9880,7690,4889,4866,4848,4868,4839,4885,4872,4826,4856,4879,4864,4867,4878,4840,4867,4858,4847,4867,4888,4807,6729,9323,4883,4868,4854,4876,4878,4814,8640,9437,4947,4893,11356,7402,7646,7246,7701,7485,10212,9438,4937,4820,4884,4849,4840,4859,4837,4819,10766,7345,4865,4789,4956,4822,10215,6102,4842,4872,5881,6456,4873,4842,8740,9650,4880,4835,4858,4818,10014,8970,4873,4829,4827,4816,9010,9032,10958,7954,8484,7524,9179,9243,9535,8638,8645,7343,10059,7253,10070,6842,6412,5667,10063,7596,9986,7671,8827,7877,10079,7401,10069,8593,8438,7353,10023,7445,10576,9178,10988,6910,10022,6868,10057,8705,4807,4840,9417,8667,11268,9530,9688,8255,10283,7781,10122,8633,7277,5508,10034,10739,10167,9920,6742,5809,4791,4847,4826,4819,4832,4862,4815,4832,4852,4828,4822,4852,4854,4831,4852,4845,4846,4888,4870,4849,4853,4841,4874,4839,4903,4826,4858,4826,4863,4823,4843,4847,4830,4838,4811,4866,4862,4835,4871,4837,4849,4820,4861,4841,4838,4819,4838,4836,4885,4839,4827,4844,4814,4853,4814,4855,4868,4843,4871,4826,4846,4841,4870,4864,4827,4856,4827,4862,4842,4851,4864,4811,4851,4835,4853,4858
10656,0,10,0,0,7049,5570,6963,5708,4842,4893,4850,4892,7132,6139,7945,5919,6891,6047,4891,4921,4874,4867,4887,4874,4855,4861,4848,4885,4874,4891,5771,5004,6069,5602,4898,4888,4836,4877,10195,5590,10253,5456,4802,4877,4859,4843,4879,4859,5299,4998,4845,4872,4851,4866,4825,4877,4876,4833,4841,4882,4867,4871,4881,4851,4873,4862,4852,4870,4914,4807,4874,4849,4885,4867,4834,4881,4866,4812,4860,4843,4863,4890,4816,4816,4855,4828,4820,4833,4834,4883,4984,4822,4885,4843,4846,4857,4860,4825,4857,4794,4860,4789,5037,4822,4931,4842,4900,4873,4843,4855,4868,4837,4973,4836,4920,4836,4855,4811,5024,4814,4852,4827,4806,4810,7313,5848,7334,5701,7694,5632,8297,5722,6636,5758,6492,5565,10185,5647,10165,5564,4863,4816,10241,5593,10033,5661,4811,4829,10078,5579,10254,5668,4890,4867,10091,5632,10142,5820,4874,4808,9983,5936,10351,6044,7285,5756,9906,6035,10471,6156,6226,5673,10263,5603,9905,5625,4835,4843,7979,5591,4844,4847,4848,4829,4836,4850,4834,4820,4844,4865,4827,4834,4857,4829,4841,4855,4851,4836,4850,4849,4849,4893,4871,4850,4839,4840,4875,4841,4908,4828,4857,4822,4869,4817,4848,4848,4836,4837,4811,4867,4864,4832,4871,4838,4851,4819,4865,4852,4841,4821,4840,4831,4885,4838,4824,4843,4808,4850,4820,4853,4870,4849,4870,4827,4841,4836,4872,4867,4832,4851,4827,4857,4844,4853,4863,4814,4849,4837,4856,4858
